Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR
2023-04-17;29.3;76.0;12.0;5.5;1.0;1.0
2023-04-18;29.1;81.0;13.2;7.2;1.0;1.0
2023-04-19;29.7;79.0;1.2;4.8;1.0;1.0
2023-04-20;28.9;80.0;29.5;7.6;0.0;1.0
2023-04-21;29.2;81.0;5.8;3.7;1.0;1.0
2023-04-22;29.6;76.0;;6.4;1.0;1.0
2023-04-23;29.8;76.0;;7.0;1.0;1.0
2023-04-24;29.5;79.0;3.6;7.0;1.0;1.0
2023-04-25;28.5;81.0;9.7;7.5;0.0;1.0
2023-04-26;28.7;80.0;;3.2;1.0;1.0
2023-04-27;29.6;79.0;1.3;7.4;1.0;1.0
2023-04-28;29.4;79.0;0.0;5.8;1.0;1.0
2023-04-29;28.6;83.0;0.0;4.7;1.0;1.0
2023-04-30;29.6;76.0;;3.0;1.0;1.0
2023-05-01;28.8;80.0;0.0;4.8;0.0;1.0
2023-05-02;29.0;84.0;0.0;1.4;1.0;1.0
2023-05-03;29.8;79.0;0.5;3.0;1.0;1.0
2023-05-04;29.4;79.0;2.5;3.8;1.0;1.0
2023-05-05;29.2;80.0;;6.6;1.0;1.0
2023-05-06;28.8;82.0;18.1;3.9;0.0;1.0
2023-05-07;28.5;83.0;;3.4;1.0;1.0
2023-05-08;28.7;78.0;45.5;4.7;1.0;1.0
2023-05-09;30.4;75.0;;3.0;1.0;1.0
2023-05-10;30.3;76.0;0.0;3.6;1.0;1.0
2023-05-11;29.2;80.0;0.0;6.2;1.0;1.0
2023-05-12;30.8;72.0;;1.3;1.0;1.0
2023-05-13;29.0;82.0;;7.0;1.0;1.0
2023-05-14;29.5;69.0;20.0;6.5;1.0;1.0
2023-05-15;28.7;72.0;0.0;6.0;1.0;1.0
2023-05-16;29.7;70.0;0.0;6.6;0.0;1.0
2023-05-17;29.6;71.0;0.0;7.5;1.0;1.0
2023-05-18;29.2;73.0;0.0;6.2;0.0;1.0
2023-05-19;29.6;74.0;0.0;0.0;1.0;1.0
2023-05-20;29.4;76.0;0.0;3.3;1.0;1.0
2023-05-21;29.6;79.0;;2.5;1.0;1.0
2023-05-22;29.1;78.0;1.8;6.0;0.0;1.0
2023-05-23;29.3;75.0;;5.3;1.0;1.0
2023-05-24;29.4;73.0;;4.2;1.0;1.0
2023-05-25;29.4;72.0;;2.0;1.0;1.0
2023-05-26;30.1;72.0;0.0;5.2;1.0;1.0
2023-05-27;29.5;76.0;;4.4;1.0;1.0
2023-05-28;28.7;80.0;17.8;2.5;1.0;1.0
2023-05-29;29.9;75.0;;2.5;1.0;1.0
2023-05-30;29.6;75.0;0.0;3.7;1.0;1.0
2023-05-31;29.8;73.0;0.0;4.0;0.0;1.0
2023-06-01;29.3;74.0;;5.0;1.0;1.0
2023-06-02;29.9;73.0;;6.5;1.0;1.0
2023-06-03;30.2;72.0;0.0;5.7;1.0;1.0
2023-06-04;29.5;75.0;0.0;6.2;1.0;1.0
2023-06-05;29.6;74.0;;4.0;1.0;1.0
2023-06-06;27.8;82.0;0.3;4.4;0.0;1.0
2023-06-07;29.8;72.0;1.7;0.0;1.0;1.0
2023-06-08;29.9;75.0;0.0;4.0;1.0;1.0
2023-06-09;29.2;73.0;0.0;3.5;1.0;1.0
2023-06-10;29.5;75.0;0.0;5.2;1.0;1.0
2023-06-11;29.1;73.0;0.0;4.0;1.0;1.0
2023-06-12;30.1;72.0;0.0;5.6;1.0;1.0
2023-06-13;30.1;74.0;0.0;3.4;1.0;1.0
2023-06-14;29.7;75.0;;2.5;0.0;1.0
2023-06-15;29.5;74.0;0.0;2.4;1.0;1.0
2023-06-16;26.2;94.0;0.0;2.0;0.0;1.0
2023-06-17;27.9;81.0;29.3;0.0;1.0;1.0
2023-06-18;28.7;80.0;0.0;1.5;1.0;1.0
2023-06-19;27.4;88.0;0.0;2.3;1.0;1.0
2023-06-20;28.6;78.0;26.9;0.2;1.0;1.0
2023-06-21;29.5;77.0;0.0;3.3;1.0;1.0
2023-06-22;29.2;78.0;2.5;3.9;1.0;1.0
2023-06-23;29.4;77.0;1.0;3.7;2.0;1.0
2023-06-24;28.6;79.0;0.0;3.6;1.0;1.0
2023-06-25;28.7;81.0;31.4;4.2;1.0;1.0
2023-06-26;28.5;75.0;3.5;2.6;1.0;1.0
2023-06-27;28.8;76.0;0.0;3.7;1.0;1.0
2023-06-28;29.1;68.0;0.0;4.0;1.0;1.0
2023-06-29;28.7;77.0;30.6;4.2;1.0;1.0
2023-06-30;29.1;76.0;0.0;3.5;2.0;1.0
2023-07-01;29.2;78.0;0.0;4.8;1.0;1.0
2023-07-02;29.3;75.0;0.0;2.7;1.0;1.0
2023-07-03;29.1;74.0;0.0;;1.0;1.0
2023-07-04;28.7;74.0;0.0;3.5;0.0;1.0
2023-07-05;29.3;73.0;0.0;5.5;1.0;1.0
2023-07-06;27.8;82.0;1.6;6.0;0.0;1.0
2023-07-07;28.2;78.0;2.5;1.5;0.0;1.0
2023-07-08;28.1;80.0;1.2;1.2;1.0;1.0
2023-07-09;28.5;76.0;0.0;2.4;2.0;6.0
2023-07-10;29.3;73.0;0.0;4.5;1.0;1.0
2023-07-11;29.1;72.0;0.0;3.4;1.0;1.0
2023-07-12;29.1;76.0;;6.6;1.0;1.0
2023-07-13;28.9;72.0;0.0;6.3;1.0;1.0
2023-07-14;29.0;72.0;;4.5;1.0;1.0
2023-07-15;28.9;73.0;0.0;4.0;2.0;1.0
2023-07-16;28.9;74.0;0.0;5.0;1.0;1.0
2023-07-17;29.3;68.0;0.0;5.6;1.0;1.0
2023-07-18;28.8;67.0;0.0;5.0;1.0;1.0
2023-07-19;29.5;59.0;;6.6;1.0;1.0
2023-07-20;27.9;61.0;0.0;6.8;1.0;1.0
