time;pm10;pm25;so2;co;o3;no2;tavg;rhum;prcp;wspd;wdir
2023-03-03;38.0;46.0;49.0;9.0;16.0;25.0;26.2;85.0;11.4;13.7;271.0
2023-03-04;31.0;40.0;50.0;9.8;18.0;21.0;26.9;86.0;8.0;11.3;276.0
2023-03-05;33.0;41.0;47.0;11.0;21.0;22.0;27.1;83.0;4.0;11.5;286.0
2023-03-06;31.0;44.0;46.0;9.0;20.0;19.0;28.5;80.0;2.1;13.4;283.0
2023-03-07;37.0;54.0;50.0;11.0;17.0;19.0;28.1;82.0;5.9;11.4;296.0
2023-03-08;42.0;54.0;51.0;12.0;17.0;23.0;26.7;86.0;1.2;7.2;302.0
2023-03-09;47.0;58.0;46.0;13.0;22.0;33.0;27.3;85.0;0.9;6.9;331.0
2023-03-10;45.0;61.0;46.0;12.0;14.0;28.0;28.0;85.0;2.9;6.6;309.0
2023-03-11;44.0;62.0;45.0;12.0;18.0;35.0;29.1;83.0;9.2;6.8;286.0
2023-03-12;61.0;83.0;47.0;13.0;17.0;39.0;28.0;85.0;3.8;7.1;326.0
2023-03-13;53.0;72.0;48.0;12.0;21.0;33.0;28.8;80.0;5.3;8.1;307.0
2023-03-14;51.0;61.0;47.0;12.0;15.0;30.0;27.3;87.0;12.3;7.6;315.0
2023-03-15;29.0;42.0;43.0;11.0;23.0;31.0;26.1;88.0;3.6;6.1;34.0
2023-03-16;64.0;84.0;46.0;15.0;21.0;44.0;28.1;82.0;0.9;16.2;4.0
2023-03-17;49.0;59.0;44.0;11.0;21.0;28.0;28.8;82.0;8.7;7.1;10.0
2023-03-18;44.0;60.0;45.0;12.0;20.0;34.0;28.7;83.0;2.3;6.6;300.0
2023-03-19;53.0;67.0;46.0;12.0;24.0;29.0;28.8;84.0;3.7;7.2;61.0
2023-03-20;54.0;76.0;47.0;13.0;28.0;33.0;28.4;81.0;1.9;7.3;144.0
2023-03-21;54.0;71.0;47.0;14.0;20.0;45.0;29.8;79.0;1.4;6.7;62.0
2023-03-22;56.0;81.4;34.2;14.8;22.0;41.8;29.6;81.0;0.0;5.6;55.0
2023-03-23;53.0;75.4;17.6;23.4;26.6;33.2;29.7;79.0;0.0;6.6;25.0
2023-03-24;47.4;67.0;37.8;16.2;14.4;37.8;29.4;80.0;0.4;7.2;302.0
