tanggal;pm10;pm25;so2;co;o3;no2
2023-04-15;65.0;94.0;52.0;12.0;27.0;53.0
2023-04-16;48.0;63.0;50.0;11.0;21.0;22.0
2023-04-17;42.0;58.0;48.0;11.0;18.0;24.0
2023-04-18;51.0;72.0;52.0;9.0;27.0;26.0
2023-04-19;51.0;75.0;50.0;9.0;33.0;27.0
2023-04-20;43.0;60.0;45.0;11.0;35.0;27.0
2023-04-21;49.0;71.0;46.0;9.0;36.0;23.0
2023-04-22;45.0;66.0;46.0;11.0;32.0;18.0
2023-04-23;45.0;64.0;50.0;8.0;38.0;12.0
2023-04-24;42.0;64.0;47.0;9.0;32.0;21.0
2023-04-25;33.0;48.0;45.0;9.0;25.0;19.0
2023-04-26;35.0;53.0;46.0;11.0;23.0;21.0
2023-04-27;50.0;68.0;45.0;11.0;30.0;31.0
2023-04-28;34.0;51.0;45.0;8.0;29.0;21.0
2023-04-29;52.0;81.0;46.0;13.0;36.0;31.0
2023-04-30;61.0;87.0;50.0;10.0;42.0;26.0
2023-05-01;49.0;69.0;47.0;9.0;34.0;21.0
2023-05-02;64.0;98.0;50.0;11.0;34.0;32.0
2023-05-03;52.0;68.0;50.0;9.0;32.0;29.0
2023-05-04;35.0;51.0;46.0;10.0;29.0;31.0
2023-05-05;45.0;63.0;46.0;12.0;38.0;35.0
2023-05-06;49.0;66.0;45.0;9.0;41.0;31.0
2023-05-07;54.0;80.0;49.0;12.0;33.0;34.0
2023-05-08;51.0;69.0;48.0;11.0;40.0;30.0
2023-05-09;48.0;71.0;50.0;11.0;25.0;34.0
2023-05-10;65.0;92.0;52.0;10.0;34.0;30.0
2023-05-11;61.0;84.0;53.0;10.0;33.0;25.0
2023-05-12;31.0;41.0;52.0;9.0;15.0;16.0
2023-05-13;39.0;63.0;52.0;10.0;28.0;24.0
2023-05-14;37.0;63.0;50.0;9.0;30.0;29.0
2023-05-15;46.0;71.0;51.0;12.0;21.0;32.0
2023-05-16;56.0;77.0;51.0;12.0;21.0;35.0
2023-05-17;61.0;81.0;52.0;11.0;18.0;32.0
2023-05-18;57.0;84.0;53.0;10.0;25.0;25.0
2023-05-19;60.0;91.0;52.0;12.0;24.0;34.0
2023-05-20;63.0;93.0;53.0;10.0;23.0;28.0
2023-05-21;66.0;99.0;52.0;10.0;27.0;27.0
2023-05-22;60.0;86.0;47.0;11.0;37.0;36.0
2023-05-23;68.0;96.0;51.0;10.0;21.0;35.0
2023-05-24;66.0;101.0;52.0;11.0;16.0;38.0
2023-05-25;64.0;93.0;52.0;14.0;25.0;32.0
2023-05-26;66.0;99.0;39.0;15.0;30.0;32.0
2023-05-27;67.0;98.0;41.0;11.0;32.0;26.0
2023-05-28;57.0;89.0;38.0;10.0;32.0;29.0
2023-05-29;65.0;98.0;38.0;11.0;26.0;30.0
2023-05-30;62.0;93.0;39.0;10.0;31.0;27.0
2023-05-31;60.0;89.0;37.0;10.0;31.0;36.0
2023-06-01;58.0;84.0;40.0;11.0;29.0;28.0
2023-06-02;62.0;91.0;41.0;10.0;31.0;19.0
2023-06-03;60.0;86.0;40.0;10.0;26.0;19.0
2023-06-04;59.0;89.0;37.0;10.0;25.0;22.0
2023-06-05;54.0;75.0;36.0;12.0;29.0;24.0
2023-06-06;59.0;76.0;35.0;12.0;21.0;27.0
2023-06-07;54.0;78.0;38.0;12.0;20.0;31.0
2023-06-08;54.0;81.0;44.0;11.0;21.0;22.0
2023-06-09;56.0;75.0;43.0;13.0;15.0;23.0
2023-06-10;48.0;74.0;38.0;11.0;31.0;25.0
2023-06-11;63.0;92.0;42.0;11.0;32.0;23.0
2023-06-12;60.0;89.0;38.0;12.0;23.0;24.0
2023-06-13;57.0;80.0;44.0;10.0;19.0;26.0
2023-06-14;56.0;81.0;39.0;11.0;24.0;26.0
2023-06-15;60.0;92.0;40.0;11.0;20.0;32.0
2023-06-16;56.0;75.0;36.0;11.0;28.0;25.0
2023-06-17;57.0;85.0;46.0;13.0;23.0;28.0
2023-06-18;58.0;87.0;44.0;10.0;21.0;27.0
2023-06-19;42.0;64.0;36.0;11.0;31.0;25.0
2023-06-20;56.0;75.0;41.0;14.0;25.0;28.0
2023-06-21;55.0;87.0;41.0;10.0;36.0;26.0
2023-06-22;63.0;98.0;37.0;13.0;33.0;35.0
2023-06-23;55.0;78.0;39.0;10.0;28.0;24.0
2023-06-24;51.0;74.0;37.0;10.0;34.0;29.0
2023-06-25;55.0;83.0;36.0;10.0;39.0;24.0
2023-06-26;54.0;77.0;37.0;12.0;33.0;29.0
2023-06-27;64.0;94.0;42.0;11.0;28.0;30.0
2023-06-28;43.0;67.0;38.0;11.0;25.0;25.0
2023-06-29;36.0;56.0;37.0;9.0;24.0;16.0
2023-06-30;38.0;65.0;36.0;10.0;28.0;18.0
2023-07-01;55.0;83.0;38.0;12.0;20.0;28.0
2023-07-02;55.0;83.0;37.0;11.0;26.0;27.0
2023-07-03;55.0;81.0;40.0;10.0;24.0;28.0
2023-07-04;53.0;76.0;38.0;12.0;25.0;31.0
2023-07-05;62.0;95.0;43.0;11.0;23.0;35.0
2023-07-06;66.0;101.0;39.0;11.0;22.0;35.0
2023-07-07;65.0;97.0;45.0;11.0;32.0;35.0
2023-07-08;54.0;69.0;38.0;11.0;21.0;29.0
2023-07-09;42.0;67.0;38.0;12.0;15.0;23.0
2023-07-10;42.0;62.0;40.0;10.0;17.0;17.0
2023-07-11;52.0;73.0;42.0;11.0;13.0;27.0
2023-07-12;57.0;89.0;40.0;12.0;25.0;32.0
2023-07-13;63.0;92.0;40.0;12.0;36.0;33.0
2023-07-14;59.0;90.0;39.0;12.0;36.0;35.0
2023-07-15;56.0;82.0;40.0;11.0;21.0;28.0
2023-07-16;55.0;82.0;41.0;11.0;21.0;25.0
2023-07-17;52.0;76.0;38.0;12.0;24.0;22.0
2023-07-18;60.0;87.0;40.0;11.0;21.0;24.0
2023-07-19;56.0;84.0;39.0;11.0;23.0;22.0
2023-07-20;52.0;80.0;39.0;14.0;27.0;25.0
2023-07-21;62.0;94.0;41.0;16.0;24.0;38.0
2023-07-22;74.0;114.0;42.0;13.0;30.0;35.0
2023-07-23;58.0;84.0;41.0;12.0;23.0;25.0
2023-07-24;57.0;77.0;38.0;11.0;33.0;23.0
2023-07-25;63.0;97.0;42.0;11.0;36.0;34.0
2023-07-26;63.0;92.0;38.0;11.0;25.0;33.0
2023-07-27;71.0;109.0;41.0;13.0;26.0;43.0
2023-07-28;67.0;94.0;44.0;11.0;24.0;32.0
2023-07-29;63.0;93.0;42.0;11.0;27.0;27.0
2023-07-30;62.0;93.0;42.0;11.0;32.0;20.0
2023-07-31;60.0;83.0;39.0;12.0;26.0;20.0
2023-08-01;56.0;79.0;41.0;10.0;19.0;24.0
2023-08-02;51.0;74.0;42.0;9.0;22.0;24.0
2023-08-03;60.0;82.0;40.0;9.0;32.0;29.0
2023-08-04;62.0;91.0;38.0;11.0;39.0;24.0
2023-08-05;57.0;91.0;39.0;8.0;33.0;22.0
2023-08-06;58.0;97.0;39.0;11.0;30.0;22.0
2023-08-07;72.0;114.0;40.0;13.0;28.0;39.0
2023-08-08;67.0;90.0;41.0;10.0;19.0;29.0
2023-08-09;58.0;79.0;39.0;9.0;24.0;24.0
2023-08-10;58.0;87.0;41.0;10.0;27.0;31.0
