tanggal;pm10;pm25;so2;co;o3;no2
2024-03-23;63.0;100.0;15.0;31.0;30.0;47.0
2024-03-24;52.0;71.0;13.0;15.0;38.0;30.0
2024-03-25;44.0;64.0;13.0;16.0;25.0;39.0
2024-03-26;52.0;73.0;13.0;21.0;25.0;37.0
2024-03-27;57.0;77.0;13.0;22.0;17.0;43.0
2024-03-28;62.0;92.0;19.0;22.0;33.0;45.0
2024-03-29;62.0;90.0;16.0;19.0;35.0;50.0
2024-05-01;47.0;63.0;15.0;19.0;26.0;34.0
2024-05-02;54.0;75.0;14.0;18.0;27.0;30.0
2024-05-03;58.0;85.0;13.0;24.0;30.0;43.0
2024-05-04;62.0;87.0;14.0;24.0;25.0;50.0
2024-05-05;60.0;88.0;14.0;27.0;22.0;47.0
2024-05-06;59.0;82.0;15.0;18.0;26.0;38.0
2024-05-07;64.0;92.0;16.0;20.0;23.0;42.0
2024-05-08;63.0;87.0;19.0;18.0;20.0;47.0
2024-05-09;62.0;93.0;16.0;18.0;22.0;44.0
2024-05-10;56.0;84.0;19.0;12.0;30.0;27.0
2024-05-11;52.0;74.0;18.0;11.0;28.0;27.0
2024-05-12;53.0;75.0;18.0;10.0;28.0;27.0
2024-05-13;52.0;64.0;16.0;8.0;25.0;25.0
2024-05-14;61.0;85.0;18.0;10.0;28.0;39.0
2024-05-15;62.0;78.0;14.0;20.0;26.0;40.0
2024-05-16;65.0;98.0;19.0;17.0;28.0;40.0
2024-05-17;64.0;86.0;17.0;17.0;21.0;39.0
2024-05-18;67.0;97.0;18.0;20.0;18.0;48.0
2024-05-19;63.0;92.0;15.0;17.0;25.0;36.0
2024-05-20;65.0;91.0;17.0;15.0;26.0;32.0
2024-05-21;62.0;97.0;25.0;14.0;23.0;45.0
2024-05-22;65.0;92.0;20.0;12.0;24.0;37.0
2024-05-23;59.0;78.0;20.0;11.0;22.0;32.0
2024-05-24;60.0;74.0;16.0;13.0;19.0;30.0
2024-05-25;39.0;53.0;12.0;15.0;16.0;30.0
2024-05-26;61.0;82.0;26.0;21.0;19.0;38.0
2024-05-27;64.0;92.0;22.0;15.0;25.0;39.0
2024-05-28;67.0;100.0;18.0;14.0;29.0;42.0
2024-05-29;64.0;86.0;19.0;10.0;32.0;36.0
2024-05-30;59.0;85.0;19.0;8.0;29.0;38.0
2024-05-31;70.0;101.0;17.0;10.0;27.0;44.0
2024-02-01;52.0;72.0;49.0;17.0;18.0;37.0
2024-02-02;50.0;62.0;49.0;12.0;19.0;26.0
2024-02-03;33.0;51.0;48.0;10.0;20.0;22.0
2024-02-04;24.0;38.0;46.0;9.0;16.0;14.0
2024-02-05;38.0;67.0;47.0;13.0;18.0;28.0
2024-02-06;47.0;61.0;47.0;9.0;18.0;32.0
2024-02-07;32.0;49.0;49.0;8.0;15.0;22.0
2024-02-08;42.0;60.0;47.0;6.0;15.0;20.0
2024-02-09;51.0;72.0;51.0;6.0;21.0;31.0
2024-02-10;46.0;57.0;51.0;7.0;28.0;20.0
2024-02-11;39.0;57.0;50.0;9.0;23.0;23.0
2024-02-12;33.0;54.0;50.0;7.0;25.0;23.0
2024-02-13;39.0;52.0;51.0;7.0;26.0;28.0
2024-02-14;25.0;38.0;52.0;8.0;26.0;24.0
2024-02-15;35.0;55.0;;18.0;22.0;29.0
2024-02-16;57.0;73.0;20.0;28.0;20.0;40.0
2024-02-17;36.0;50.0;16.0;21.0;23.0;23.0
2024-02-18;38.0;55.0;15.0;20.0;24.0;26.0
2024-02-19;46.0;66.0;16.0;24.0;14.0;39.0
2024-02-20;42.0;61.0;16.0;21.0;21.0;31.0
2024-02-21;52.0;73.0;20.0;32.0;24.0;37.0
2024-02-22;56.0;73.0;19.0;22.0;23.0;35.0
2024-02-23;38.0;56.0;16.0;20.0;23.0;29.0
2024-02-24;38.0;57.0;20.0;20.0;12.0;19.0
2024-02-25;26.0;37.0;20.0;16.0;22.0;19.0
2024-02-26;25.0;42.0;13.0;17.0;18.0;24.0
2024-02-27;44.0;63.0;14.0;25.0;16.0;32.0
2024-02-28;43.0;59.0;14.0;21.0;13.0;31.0
2024-02-29;33.0;44.0;13.0;22.0;14.0;29.0
2024-09-01;54.0;72.0;12.0;22.0;27.0;32.0
2024-09-02;52.0;70.0;10.0;22.0;35.0;36.0
2024-09-03;55.0;79.0;10.0;28.0;23.0;44.0
2024-09-04;58.0;83.0;11.0;24.0;35.0;35.0
2024-09-05;52.0;71.0;12.0;24.0;18.0;33.0
2024-09-06;56.0;86.0;14.0;26.0;20.0;40.0
2024-09-07;54.0;79.0;12.0;22.0;25.0;26.0
2024-09-08;54.0;84.0;13.0;22.0;21.0;26.0
2024-09-09;48.0;65.0;12.0;22.0;21.0;26.0
2024-09-10;51.0;70.0;10.0;33.0;19.0;43.0
2024-09-11;39.0;58.0;12.0;23.0;26.0;33.0
2024-09-12;64.0;89.0;15.0;27.0;41.0;39.0
2024-09-13;53.0;74.0;10.0;29.0;36.0;44.0
2024-09-14;57.0;85.0;11.0;25.0;42.0;41.0
2024-09-15;60.0;86.0;12.0;27.0;38.0;35.0
2024-09-16;60.0;86.0;12.0;24.0;38.0;33.0
2024-09-17;55.0;79.0;14.0;24.0;40.0;37.0
2024-09-18;52.0;76.0;16.0;24.0;36.0;34.0
2024-09-19;61.0;83.0;15.0;27.0;37.0;46.0
2024-09-20;59.0;88.0;15.0;24.0;34.0;45.0
2024-09-21;61.0;94.0;14.0;25.0;36.0;39.0
2024-09-22;66.0;101.0;15.0;23.0;35.0;33.0
2024-09-23;59.0;87.0;15.0;24.0;25.0;37.0
2024-09-24;56.0;74.0;15.0;24.0;33.0;31.0
2024-09-25;62.0;89.0;10.0;33.0;25.0;51.0
2024-09-26;57.0;71.0;10.0;29.0;22.0;48.0
2024-09-27;51.0;70.0;10.0;27.0;25.0;41.0
2024-09-28;56.0;85.0;13.0;28.0;24.0;37.0
2024-09-29;60.0;89.0;12.0;32.0;20.0;39.0
2024-09-30;51.0;70.0;13.0;25.0;15.0;40.0
2024-10-01;63.0;91.0;13.0;29.0;24.0;46.0
2024-10-02;61.0;85.0;13.0;27.0;23.0;52.0
2024-10-03;61.0;90.0;13.0;29.0;20.0;44.0
2024-10-04;59.0;82.0;16.0;26.0;21.0;40.0
2024-10-05;56.0;80.0;12.0;30.0;19.0;46.0
2024-10-06;52.0;73.0;10.0;27.0;27.0;40.0
2024-10-07;72.0;108.0;16.0;31.0;24.0;48.0
2024-10-08;55.0;76.0;16.0;25.0;21.0;40.0
2024-10-09;55.0;76.0;13.0;26.0;24.0;41.0
2024-08-01;68.0;103.0;13.0;28.0;26.0;44.0
2024-08-02;60.0;85.0;11.0;27.0;37.0;44.0
2024-08-03;47.0;64.0;10.0;28.0;26.0;45.0
2024-08-04;50.0;74.0;10.0;29.0;29.0;39.0
2024-08-05;53.0;78.0;10.0;26.0;23.0;37.0
2024-08-06;53.0;75.0;16.0;24.0;21.0;42.0
2024-08-07;62.0;91.0;13.0;26.0;27.0;42.0
2024-08-08;64.0;96.0;16.0;28.0;23.0;42.0
2024-08-09;61.0;91.0;15.0;25.0;19.0;33.0
2024-08-10;55.0;81.0;15.0;23.0;21.0;35.0
2024-08-11;56.0;77.0;12.0;22.0;28.0;28.0
2024-08-12;54.0;78.0;12.0;23.0;24.0;30.0
2024-08-13;62.0;93.0;19.0;26.0;25.0;44.0
2024-08-14;62.0;93.0;17.0;26.0;27.0;43.0
2024-08-15;63.0;90.0;14.0;26.0;38.0;38.0
2024-08-16;64.0;91.0;15.0;28.0;33.0;48.0
2024-08-17;65.0;92.0;15.0;25.0;31.0;44.0
2024-08-18;62.0;93.0;13.0;23.0;30.0;32.0
2024-08-19;60.0;86.0;13.0;24.0;32.0;38.0
2024-08-20;64.0;93.0;14.0;26.0;27.0;46.0
2024-08-21;67.0;96.0;17.0;27.0;27.0;47.0
2024-08-22;63.0;84.0;19.0;25.0;26.0;40.0
2024-08-23;56.0;77.0;12.0;23.0;28.0;32.0
2024-08-24;62.0;98.0;13.0;27.0;24.0;43.0
2024-08-25;66.0;90.0;13.0;25.0;28.0;37.0
2024-08-26;55.0;78.0;13.0;24.0;28.0;39.0
2024-08-27;69.0;106.0;14.0;30.0;36.0;50.0
2024-08-28;62.0;86.0;14.0;24.0;33.0;41.0
2024-08-29;65.0;98.0;14.0;26.0;41.0;42.0
2024-08-30;68.0;98.0;15.0;28.0;30.0;46.0
2024-08-31;56.0;75.0;14.0;25.0;24.0;40.0
2024-07-01;62.0;90.0;11.0;28.0;31.0;41.0
2024-07-02;55.0;74.0;9.0;26.0;25.0;38.0
2024-07-03;69.0;103.0;12.0;38.0;29.0;51.0
2024-07-04;58.0;78.0;9.0;36.0;26.0;52.0
2024-07-05;53.0;66.0;10.0;28.0;21.0;41.0
2024-07-06;30.0;38.0;8.0;24.0;15.0;24.0
2024-07-07;24.0;41.0;8.0;24.0;24.0;26.0
2024-07-08;31.0;53.0;11.0;23.0;24.0;30.0
2024-07-09;43.0;66.0;8.0;31.0;28.0;49.0
2024-07-10;55.0;77.0;11.0;24.0;32.0;37.0
2024-07-11;64.0;94.0;13.0;32.0;25.0;50.0
2024-07-12;60.0;86.0;11.0;26.0;35.0;43.0
2024-07-13;66.0;93.0;15.0;30.0;23.0;50.0
2024-07-14;59.0;83.0;12.0;27.0;26.0;41.0
2024-07-15;58.0;85.0;15.0;25.0;28.0;40.0
2024-07-16;58.0;92.0;13.0;27.0;28.0;49.0
2024-07-17;59.0;88.0;17.0;26.0;20.0;45.0
2024-07-18;63.0;91.0;17.0;25.0;27.0;40.0
2024-06-01;73.0;102.0;16.0;8.0;22.0;48.0
2024-06-02;67.0;95.0;14.0;5.0;24.0;45.0
2024-06-03;50.0;61.0;11.0;5.0;24.0;40.0
2024-06-04;58.0;76.0;14.0;5.0;26.0;44.0
2024-06-05;63.0;88.0;17.0;6.0;27.0;51.0
2024-06-06;55.0;77.0;16.0;5.0;16.0;42.0
2024-06-07;58.0;82.0;16.0;;24.0;41.0
2024-06-08;62.0;88.0;16.0;25.0;22.0;40.0
2024-06-09;63.0;87.0;18.0;23.0;27.0;32.0
2024-06-10;69.0;99.0;14.0;34.0;19.0;50.0
2024-06-11;60.0;79.0;18.0;26.0;31.0;37.0
2024-06-12;58.0;76.0;12.0;35.0;26.0;51.0
2024-06-13;49.0;61.0;16.0;30.0;21.0;36.0
2024-06-14;52.0;66.0;18.0;25.0;23.0;33.0
2024-06-15;50.0;69.0;14.0;28.0;33.0;38.0
2024-06-16;54.0;73.0;9.0;26.0;41.0;42.0
2024-06-17;53.0;72.0;11.0;27.0;32.0;32.0
2024-06-18;63.0;98.0;13.0;24.0;33.0;30.0
2024-06-19;67.0;93.0;15.0;30.0;27.0;46.0
2024-06-20;62.0;87.0;16.0;25.0;24.0;37.0
2024-06-21;62.0;89.0;16.0;26.0;26.0;43.0
2024-06-22;63.0;90.0;15.0;25.0;30.0;41.0
2024-06-23;63.0;89.0;17.0;25.0;27.0;35.0
2024-06-24;57.0;85.0;15.0;26.0;20.0;40.0
2024-06-25;58.0;76.0;20.0;26.0;20.0;34.0
2024-06-26;51.0;65.0;13.0;30.0;23.0;29.0
2024-06-27;56.0;74.0;14.0;25.0;23.0;32.0
2024-06-28;53.0;67.0;12.0;27.0;24.0;33.0
2024-06-29;52.0;74.0;11.0;34.0;22.0;34.0
2024-06-30;41.0;58.0;10.0;24.0;23.0;33.0
2024-07-19;58.0;84.0;15.0;25.0;23.0;38.0
2024-07-20;60.0;84.0;17.0;24.0;24.0;38.0
2024-07-21;59.0;87.0;13.0;24.0;26.0;35.0
2024-07-22;59.0;79.0;12.0;24.0;29.0;38.0
2024-07-23;63.0;92.0;16.0;25.0;33.0;41.0
2024-07-24;75.0;99.0;23.0;27.0;27.0;44.0
2024-07-25;61.0;83.0;16.0;26.0;28.0;43.0
2024-07-26;59.0;84.0;15.0;27.0;15.0;42.0
2024-07-27;64.0;94.0;17.0;24.0;18.0;37.0
2024-07-28;64.0;102.0;16.0;24.0;29.0;33.0
2024-07-29;63.0;90.0;15.0;23.0;25.0;33.0
2024-07-30;63.0;96.0;16.0;26.0;20.0;44.0
2024-07-31;69.0;105.0;16.0;27.0;21.0;49.0
2024-12-01;32.0;65.0;67.0;7.0;9.0;40.0
2024-12-02;19.0;52.0;67.0;6.0;9.0;33.0
2024-12-03;19.0;31.0;67.0;4.0;12.0;15.0
2024-12-04;30.0;45.0;67.0;7.0;10.0;22.0
2024-12-05;17.0;26.0;67.0;3.0;12.0;13.0
2024-12-06;26.0;47.0;68.0;4.0;11.0;17.0
2024-12-07;66.0;103.0;69.0;27.0;12.0;98.0
2024-12-08;38.0;67.0;68.0;15.0;18.0;57.0
2024-12-09;42.0;69.0;69.0;11.0;11.0;29.0
2024-12-10;38.0;56.0;68.0;12.0;7.0;61.0
2024-12-11;14.0;26.0;68.0;3.0;11.0;15.0
2024-12-12;19.0;40.0;68.0;3.0;13.0;10.0
2024-12-13;21.0;52.0;69.0;4.0;13.0;14.0
2024-12-14;22.0;40.0;68.0;4.0;11.0;15.0
2024-12-15;18.0;40.0;68.0;6.0;10.0;21.0
2024-12-16;27.0;48.0;68.0;5.0;10.0;21.0
2024-12-17;27.0;37.0;68.0;6.0;10.0;30.0
2024-12-18;50.0;67.0;69.0;8.0;8.0;59.0
2024-12-19;18.0;35.0;68.0;5.0;8.0;27.0
2024-12-20;25.0;46.0;69.0;5.0;10.0;32.0
2024-12-21;23.0;53.0;26.0;5.0;11.0;30.0
2024-12-22;53.0;80.0;16.0;11.0;13.0;31.0
2024-12-23;52.0;78.0;12.0;15.0;11.0;45.0
2024-12-24;38.0;55.0;12.0;9.0;10.0;33.0
2024-12-25;52.0;79.0;12.0;11.0;11.0;52.0
2024-12-26;39.0;62.0;12.0;11.0;9.0;35.0
2024-12-27;53.0;83.0;12.0;10.0;11.0;36.0
2024-12-28;64.0;101.0;14.0;9.0;11.0;35.0
2024-12-29;51.0;21.0;13.0;10.0;13.0;35.0
2024-12-30;35.0;10.0;13.0;5.0;12.0;13.0
2024-12-31;29.0;11.0;6.0;13.0;10.0;18.0
2024-11-01;62.0;87.0;11.0;28.0;33.0;47.0
2024-11-02;60.0;87.0;14.0;25.0;26.0;41.0
2024-11-03;51.0;70.0;10.0;34.0;29.0;43.0
2024-11-04;44.0;60.0;8.0;25.0;;37.0
2024-11-05;40.0;65.0;12.0;28.0;75.0;45.0
2024-11-06;40.0;58.0;10.0;26.0;15.0;39.0
2024-11-07;55.0;83.0;13.0;27.0;18.0;40.0
2024-11-08;57.0;83.0;12.0;28.0;24.0;44.0
2024-11-09;67.0;99.0;16.0;32.0;20.0;46.0
2024-11-10;54.0;71.0;10.0;32.0;15.0;41.0
2024-11-11;51.0;71.0;10.0;30.0;18.0;42.0
2024-11-12;39.0;53.0;9.0;28.0;9.0;36.0
2024-11-13;53.0;74.0;8.0;31.0;7.0;33.0
2024-11-14;61.0;96.0;19.0;26.0;9.0;34.0
2024-11-15;69.0;106.0;22.0;31.0;13.0;49.0
2024-11-16;76.0;109.0;12.0;28.0;13.0;40.0
2024-11-17;76.0;115.0;11.0;38.0;14.0;47.0
2024-11-18;52.0;68.0;9.0;25.0;9.0;32.0
2024-11-19;38.0;61.0;10.0;28.0;16.0;36.0
2024-11-20;44.0;62.0;13.0;28.0;19.0;40.0
2024-11-21;46.0;64.0;16.0;26.0;16.0;36.0
2024-11-22;32.0;48.0;13.0;24.0;17.0;31.0
2024-11-23;34.0;54.0;12.0;26.0;18.0;29.0
2024-11-24;40.0;51.0;10.0;25.0;11.0;22.0
2024-11-25;31.0;44.0;14.0;24.0;14.0;27.0
2024-11-26;40.0;55.0;13.0;26.0;14.0;29.0
2024-11-27;50.0;;10.0;33.0;10.0;27.0
2024-11-28;30.0;42.0;9.0;25.0;9.0;24.0
2024-11-29;29.0;32.0;10.0;23.0;8.0;21.0
2024-11-30;27.0;40.0;10.0;22.0;7.0;16.0
2024-10-10;60.0;86.0;14.0;27.0;26.0;43.0
2024-10-11;60.0;83.0;15.0;28.0;18.0;47.0
2024-10-12;58.0;77.0;16.0;24.0;22.0;34.0
2024-10-13;63.0;92.0;11.0;27.0;26.0;33.0
2024-10-14;61.0;86.0;12.0;26.0;31.0;37.0
2024-10-15;53.0;71.0;13.0;24.0;35.0;40.0
2024-10-16;69.0;94.0;15.0;30.0;33.0;48.0
2024-10-17;59.0;70.0;14.0;26.0;32.0;44.0
2024-10-18;55.0;73.0;13.0;25.0;36.0;40.0
2024-10-19;65.0;82.0;14.0;26.0;39.0;37.0
2024-10-20;61.0;82.0;14.0;36.0;20.0;34.0
2024-10-21;51.0;82.0;12.0;23.0;28.0;32.0
2024-10-22;64.0;94.0;14.0;28.0;32.0;51.0
2024-10-23;57.0;84.0;12.0;24.0;40.0;38.0
2024-10-24;52.0;78.0;10.0;23.0;34.0;35.0
2024-10-25;52.0;73.0;9.0;26.0;40.0;45.0
2024-10-26;57.0;76.0;8.0;26.0;29.0;40.0
2024-10-27;54.0;78.0;19.0;23.0;34.0;31.0
2024-10-28;60.0;83.0;10.0;26.0;37.0;36.0
2024-10-29;59.0;75.0;11.0;28.0;29.0;41.0
2024-10-30;62.0;86.0;11.0;27.0;36.0;44.0
2024-10-31;59.0;78.0;11.0;28.0;29.0;45.0
