Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR;lat;long;elevation
29-03-2021;28,3;82;;8,5;2;C ;-6.155559;106.84;4
30-03-2021;27,8;86;3,5;1,3;1;C ;-6.155559;106.84;4
31-03-2021;28,5;79;0,6;1;2;C ;-6.155559;106.84;4
01-04-2021;27,8;76;4;7;1;W ;-6.155559;106.84;4
02-04-2021;29;73;;0,2;2;C ;-6.155559;106.84;4
03-04-2021;26,9;88;73,4;8;1;C ;-6.155559;106.84;4
04-04-2021;27,7;84;1,6;0;1;C ;-6.155559;106.84;4
05-04-2021;28,5;78;;0,4;2;C ;-6.155559;106.84;4
06-04-2021;29;71;;1,5;5;W ;-6.155559;106.84;4
07-04-2021;27,8;76;0,8;5,6;2;W ;-6.155559;106.84;4
08-04-2021;29,1;75;0,9;0,8;1;C ;-6.155559;106.84;4
09-04-2021;28,6;78;;6,7;2;C ;-6.155559;106.84;4
10-04-2021;27,6;81;6;6,5;1;C ;-6.155559;106.84;4
11-04-2021;28,1;77;0;3,3;1;C ;-6.155559;106.84;4
12-04-2021;28,7;74;1,2;3,5;2;C ;-6.155559;106.84;4
13-04-2021;28;80;25,5;5,8;1;C ;-6.155559;106.84;4
14-04-2021;28;81;8888;6;1;C ;-6.155559;106.84;4
15-04-2021;27,3;82;3,4;5,6;1;C ;-6.155559;106.84;4
16-04-2021;28,3;78;2,7;5,5;1;C ;-6.155559;106.84;4
17-04-2021;27,6;84;;6,8;1;C ;-6.155559;106.84;4
18-04-2021;28,6;78;27,7;2,5;1;C ;-6.155559;106.84;4
19-04-2021;28,7;76;0;4,2;1;C ;-6.155559;106.84;4
20-04-2021;29,1;73;0;6,3;1;C ;-6.155559;106.84;4
21-04-2021;29,3;72;;4;1;C ;-6.155559;106.84;4
22-04-2021;29,3;68;;7;2;C ;-6.155559;106.84;4
23-04-2021;28,2;76;0;7;1;C ;-6.155559;106.84;4
24-04-2021;28,5;74;10,5;7;2;C ;-6.155559;106.84;4
25-04-2021;29,3;73;;6,8;1;C ;-6.155559;106.84;4
26-04-2021;30,2;70;;6,8;2;C ;-6.155559;106.84;4
27-04-2021;29,9;73;0;6,5;1;C ;-6.155559;106.84;4
28-04-2021;28,8;78;0;7;1;C ;-6.155559;106.84;4
29-04-2021;29;76;56,2;3;1;C ;-6.155559;106.84;4
30-04-2021;28,6;80;;6,8;1;C ;-6.155559;106.84;4
01-05-2021;29,7;76;0;1,8;1;C ;-6.155559;106.84;4
02-05-2021;29,8;76;0;6;1;C ;-6.155559;106.84;4
03-05-2021;29,7;76;;5,8;2;E ;-6.155559;106.84;4
04-05-2021;29,5;72;;4;1;C ;-6.155559;106.84;4
05-05-2021;29,5;78;0;2,7;1;C ;-6.155559;106.84;4
06-05-2021;27,6;81;36,8;4;2;C ;-6.155559;106.84;4
07-05-2021;28,8;80;4;2,5;1;C ;-6.155559;106.84;4
08-05-2021;29,2;78;0,4;6;2;C ;-6.155559;106.84;4
09-05-2021;28,4;80;47;4;1;C ;-6.155559;106.84;4
10-05-2021;29,7;76;3,5;6,6;1;C ;-6.155559;106.84;4
11-05-2021;29,9;73;;6,5;2;C ;-6.155559;106.84;4
12-05-2021;30,1;74;;6,5;1;C ;-6.155559;106.84;4
13-05-2021;29,6;76;0;6,6;2;C ;-6.155559;106.84;4
14-05-2021;29,8;71;;5,6;2;C ;-6.155559;106.84;4
15-05-2021;29,8;72;;5,5;1;C ;-6.155559;106.84;4
16-05-2021;30,1;72;0;6,8;1;C ;-6.155559;106.84;4
17-05-2021;29,8;75;0;6,4;2;C ;-6.155559;106.84;4
18-05-2021;27,3;82;92,2;2,4;1;C ;-6.155559;106.84;4
19-05-2021;29,1;77;;2,6;1;C ;-6.155559;106.84;4
20-05-2021;29,6;74;;4,2;2;NW;-6.155559;106.84;4
21-05-2021;29,1;77;0,2;5;1;C ;-6.155559;106.84;4
