periode_data;tanggal;stasiun;pm_sepuluh;pm_duakomalima;sulfur_dioksida;karbon_monoksida;ozon;nitrogen_dioksida;max;critical;kategori
202301;14/01/2023;DKI5;51;-;24;19;35;8;25;PM25;BAIK
202301;15/01/2023;DKI1;46;57;44;11;24;7;57;PM25;SEDANG
202301;15/01/2023;DKI2;48;54;57;12;22;23;57;SO2;SEDANG
202301;15/01/2023;DKI3;49;66;55;9;15;2;66;PM25;SEDANG
202301;15/01/2023;DKI4;47;73;54;12;15;11;73;PM25;SEDANG
202301;15/01/2023;DKI5;36;-;25;13;24;5;33;PM25;BAIK
202301;16/01/2023;DKI1;34;40;42;11;11;6;42;SO2;BAIK
202301;16/01/2023;DKI2;35;48;56;10;19;17;56;SO2;SEDANG
202301;16/01/2023;DKI3;39;57;54;7;10;2;57;PM25;SEDANG
202301;16/01/2023;DKI4;-;-;-;-;-;-;-;-;TIDAK ADA DATA
202301;16/01/2023;DKI5;21;-;22;10;23;2;51;PM25;SEDANG
202301;17/01/2023;DKI1;40;52;45;12;9;6;52;PM25;SEDANG
202301;17/01/2023;DKI2;39;47;57;12;15;17;57;SO2;SEDANG
202301;17/01/2023;DKI3;51;76;55;8;8;-;76;PM25;SEDANG
202301;17/01/2023;DKI4;45;66;53;13;7;8;66;PM25;SEDANG
202301;17/01/2023;DKI5;33;-;26;14;21;3;67;PM25;SEDANG
202301;18/01/2023;DKI1;55;71;55;12;10;11;71;PM25;SEDANG
202301;18/01/2023;DKI2;56;66;63;15;17;27;66;PM25;SEDANG
202301;18/01/2023;DKI3;57;87;57;9;8;3;87;PM25;SEDANG
202301;18/01/2023;DKI4;42;80;54;14;8;14;80;PM25;SEDANG
202301;18/01/2023;DKI5;49;-;45;17;24;7;74;PM25;SEDANG
202301;19/01/2023;DKI1;53;63;53;11;9;10;63;PM25;SEDANG
202301;19/01/2023;DKI2;55;62;58;19;15;30;62;PM25;SEDANG
202301;19/01/2023;DKI3;43;65;57;9;6;4;65;PM25;SEDANG
202301;19/01/2023;DKI4;40;79;54;16;7;10;79;PM25;SEDANG
202301;19/01/2023;DKI5;53;-;41;19;23;6;73;PM25;SEDANG
202301;20/01/2023;DKI1;42;57;51;10;12;9;57;PM25;SEDANG
202301;20/01/2023;DKI2;36;58;59;13;16;25;59;SO2;SEDANG
202301;20/01/2023;DKI3;57;79;55;9;9;3;79;PM25;SEDANG
202301;20/01/2023;DKI4;39;65;54;13;11;10;65;PM25;SEDANG
202301;20/01/2023;DKI5;34;-;34;12;26;5;72;PM25;SEDANG
202301;21/01/2023;DKI1;42;59;-;9;10;20;59;PM25;SEDANG
202301;21/01/2023;DKI2;44;58;57;23;14;32;58;PM25;SEDANG
202301;21/01/2023;DKI3;45;69;54;9;9;2;69;PM25;SEDANG
202301;21/01/2023;DKI4;43;75;54;14;10;10;75;PM25;SEDANG
202301;21/01/2023;DKI5;35;-;26;14;22;3;59;PM25;SEDANG
202301;22/01/2023;DKI1;37;46;-;7;11;17;46;PM25;BAIK
202301;22/01/2023;DKI2;37;52;59;11;16;15;59;SO2;SEDANG
202301;22/01/2023;DKI3;45;63;52;7;7;2;63;PM25;SEDANG
202301;22/01/2023;DKI4;-;66;53;13;9;9;66;PM25;SEDANG
202301;22/01/2023;DKI5;22;-;25;11;23;4;37;PM10;BAIK
202301;23/01/2023;DKI1;21;32;-;6;13;12;32;PM25;BAIK
202301;23/01/2023;DKI2;27;53;62;8;17;9;62;SO2;SEDANG
202301;23/01/2023;DKI3;28;53;53;6;9;1;53;PM25;SEDANG
202301;23/01/2023;DKI4;37;51;53;11;11;4;53;SO2;SEDANG
202301;23/01/2023;DKI5;17;-;28;9;25;-;24;PM10;BAIK
202301;24/01/2023;DKI1;29;39;-;7;10;20;39;PM25;BAIK
202301;24/01/2023;DKI2;33;50;60;11;17;14;60;SO2;SEDANG
202301;24/01/2023;DKI3;22;31;52;5;9;0;52;SO2;SEDANG
202301;24/01/2023;DKI4;32;43;53;10;11;3;53;SO2;SEDANG
202301;24/01/2023;DKI5;19;-;29;9;26;1;54;PM10;SEDANG
202301;25/01/2023;DKI1;30;50;56;6;10;16;56;SO2;SEDANG
202301;25/01/2023;DKI2;37;45;60;10;13;14;60;SO2;SEDANG
202301;25/01/2023;DKI3;25;27;53;5;9;1;53;SO2;SEDANG
202301;25/01/2023;DKI4;52;53;55;10;10;5;55;SO2;SEDANG
202301;25/01/2023;DKI5;24;-;52;10;21;2;32;PM10;BAIK
202301;26/01/2023;DKI1;41;45;45;8;11;20;45;PM25;BAIK
202301;26/01/2023;DKI2;39;43;58;14;13;20;58;SO2;SEDANG
202301;26/01/2023;DKI3;40;64;56;9;12;2;64;PM25;SEDANG
202301;26/01/2023;DKI4;41;61;54;13;12;11;61;PM25;SEDANG
202301;26/01/2023;DKI5;35;-;27;13;25;3;33;PM10;BAIK
202301;27/01/2023;DKI1;47;56;44;11;21;25;56;PM25;SEDANG
202301;27/01/2023;DKI2;33;56;-;9;17;-;56;PM25;SEDANG
202301;27/01/2023;DKI3;59;75;56;8;10;2;75;PM25;SEDANG
202301;27/01/2023;DKI4;50;66;54;13;10;15;66;PM25;SEDANG
202301;27/01/2023;DKI5;38;-;27;16;27;6;23;PM10;BAIK
202301;28/01/2023;DKI1;33;45;41;8;14;27;45;PM25;BAIK
202301;28/01/2023;DKI2;30;48;-;10;32;25;48;PM25;BAIK
202301;28/01/2023;DKI3;50;67;56;9;9;3;67;PM25;SEDANG
202301;28/01/2023;DKI4;44;68;54;14;7;17;68;PM25;SEDANG
202301;28/01/2023;DKI5;27;-;26;16;25;6;28;PM10;BAIK
202301;29/01/2023;DKI1;50;60;43;10;20;26;60;PM25;SEDANG
202301;29/01/2023;DKI2;51;60;-;17;37;21;60;PM25;SEDANG
202301;29/01/2023;DKI3;54;43;55;11;10;3;55;SO2;SEDANG
202301;29/01/2023;DKI4;53;82;54;20;8;11;82;PM25;SEDANG
202301;29/01/2023;DKI5;54;-;27;26;25;4;28;SO2;BAIK
202301;30/01/2023;DKI1;37;56;44;9;21;27;56;PM25;SEDANG
202301;30/01/2023;DKI2;40;56;-;10;26;21;56;PM25;SEDANG
202301;30/01/2023;DKI3;58;44;54;9;15;2;58;PM10;SEDANG
